,Brand,Year,Model,Title,UsedOrNew,Transmission,FuelType,Kilometres,CylindersinEngine,BodyType,Price,Colour
0,Ssangyong,2022,Rexton,Ssangyong Rexton Ultimate,DEMO,Automatic,Diesel,5595,4,SUV,51990,White
1,MG,2022,MG3,MG MG3 Auto,USED,Automatic,Premium,16,4,Hatchback,19990,Black
2,BMW,2022,430I,BMW 430I M,USED,Automatic,Premium,8472,4,Coupe,108988,Grey
3,Mercedes-Benz,2011,E500,Mercedes-Benz E500 Elegance,USED,Automatic,Premium,136517,8,Coupe,32990,White
4,Renault,2022,Arkana,Renault Arkana Intens,USED,Automatic,Unleaded,1035,4,SUV,34990,Grey
5,Toyota,2004,Estima,Toyota Estima T,USED,Automatic,Unleaded,160230,4,Commercial,9990,Grey
6,Land,2017,Rover,Land Rover Range,USED,Automatic,Diesel,67662,4,SUV,62280,White
7,Nissan,2000,Pulsar,Nissan Pulsar LX,USED,Automatic,Unleaded,300539,4,Hatchback,2995,Red
8,Toyota,2013,86,Toyota 86 GT,USED,Automatic,Premium,82012,4,Coupe,24888,Black
9,Honda,2014,Jazz,Honda Jazz Hybrid,USED,Automatic,Hybrid,38229,4,Hatchback,17900,Blue
10,Toyota,2009,HiAce,Toyota HiAce (No,USED,Automatic,Unleaded,148190,4,Commercial,42500,White
11,Toyota,2018,HiAce,Toyota HiAce LWB,USED,Automatic,Unleaded,16324,4,Commercial,41999,White
12,Toyota,2016,HiAce,Toyota HiAce LWB,USED,Automatic,Diesel,229829,4,Commercial,27995,White
13,Volkswagen,2012,Golf,Volkswagen Golf 90,USED,Automatic,Premium,55676,4,Hatchback,14999,White
14,BMW,2014,X3,BMW X3 Xdrive,USED,Automatic,Diesel,82624,4,SUV,24985,Black
15,BMW,2011,118D,BMW 118D,USED,Automatic,Diesel,95204,4,Hatchback,13999,Silver
16,Ford,2014,Fiesta,Ford Fiesta Sport,USED,Automatic,Unleaded,76289,3,Hatchback,12400,White
17,Mitsubishi,2012,Outlander,Mitsubishi Outlander LS,USED,Automatic,Unleaded,219681,4,SUV,13999,Black
18,Ford,2013,Fiesta,Ford Fiesta Zetec,USED,Automatic,Unleaded,98079,4,Hatchback,11999,Blue
19,Volkswagen,2023,Amarok,Volkswagen Amarok Style,NEW,Automatic,Diesel,15,6,Ute / Tray,83887,White
20,Honda,2018,Jazz,Honda Jazz VTI,USED,Automatic,Unleaded,43274,4,Hatchback,19900,Silver
21,Subaru,2012,Outback,Subaru Outback 2.5I,USED,Automatic,Premium,105672,4,SUV,17990,Black
22,Mitsubishi,2018,Mirage,Mitsubishi Mirage ES,USED,Automatic,Unleaded,36836,3,Hatchback,14995,Black
23,Toyota,2005,Camry,Toyota Camry Altise,USED,Automatic,Unleaded,115821,4,Sedan,8499,Silver
24,Hyundai,2011,I45,Hyundai I45 Active,USED,Automatic,Unleaded,189711,4,Sedan,12990,Silver
25,Ford,2015,Territory,Ford Territory TS,USED,Automatic,Diesel,173786,6,SUV,16999,Blue
26,Nissan,2018,Qashqai,Nissan Qashqai ST,USED,Automatic,Unleaded,114301,4,SUV,21950,Blue
27,Volkswagen,2013,Golf,Volkswagen Golf GTI,USED,Manual,Premium,69197,4,Hatchback,24880,Black
